actor_word,immediate_other_word,active_response_word,count,p_response_given_actor_and_immediate
IW06,IW06,IW06,111,1.0
IW07,IW06,IW06,105,1.0
IW06,IW08,IW08,99,1.0
IW08,IW07,IW07,92,1.0
IW06,IW07,IW07,88,1.0
IW06,IW02,IW02,87,1.0
IW07,IW07,IW07,87,1.0
IW07,IW08,IW08,74,1.0
IW02,IW06,IW06,73,1.0
IW02,IW08,IW08,69,1.0
IW08,IW08,IW08,66,1.0
IW02,IW07,IW07,62,1.0
IW00,IW08,IW08,59,1.0
IW04,IW08,IW08,58,1.0
IW06,IW10,IW10,57,1.0
IW10,IW06,IW06,57,1.0
IW06,IW04,IW04,56,1.0
IW07,IW02,IW02,55,1.0
IW10,IW07,IW07,55,1.0
IW07,IW10,IW10,54,1.0
IW08,IW06,IW06,54,1.0
IW04,IW06,IW06,53,1.0
IW10,IW08,IW08,51,1.0
IW07,IW04,IW04,50,1.0
IW08,IW02,IW02,49,1.0
IW06,IW00,IW00,46,1.0
IW00,IW06,IW06,44,1.0
IW00,IW07,IW07,44,1.0
IW04,IW07,IW07,43,1.0
IW10,IW04,IW04,41,1.0
IW08,IW00,IW00,40,1.0
IW08,IW04,IW04,40,1.0
IW02,IW02,IW02,38,1.0
IW04,IW10,IW10,37,1.0
IW08,IW10,IW10,37,1.0
IW04,IW04,IW04,36,1.0
IW04,IW02,IW02,33,1.0
IW07,IW00,IW00,33,1.0
IW10,IW02,IW02,33,1.0
IW06,IW05,IW05,32,1.0
IW10,IW10,IW10,32,1.0
IW00,IW00,IW00,31,1.0
IW02,IW04,IW04,29,1.0
IW02,IW10,IW10,29,1.0
IW00,IW10,IW10,28,1.0
IW04,IW00,IW00,28,1.0
IW05,IW02,IW02,28,1.0
IW00,IW04,IW04,27,1.0
IW02,IW00,IW00,26,1.0
IW07,IW05,IW05,26,1.0
IW10,IW00,IW00,26,1.0
IW00,IW02,IW02,24,1.0
IW09,IW06,IW06,24,1.0
IW04,IW05,IW05,23,1.0
IW05,IW06,IW06,22,1.0
IW10,IW05,IW05,21,1.0
IW05,IW07,IW07,20,1.0
IW06,IW09,IW09,19,1.0
IW03,IW08,IW08,17,1.0
IW09,IW07,IW07,17,1.0
IW03,IW06,IW06,16,1.0
IW07,IW03,IW03,16,1.0
IW09,IW08,IW08,16,1.0
IW08,IW05,IW05,15,1.0
IW02,IW05,IW05,14,1.0
IW05,IW08,IW08,14,1.0
IW07,IW09,IW09,13,1.0
IW09,IW02,IW02,12,1.0
IW00,IW05,IW05,11,1.0
IW03,IW10,IW10,11,1.0
IW05,IW04,IW04,11,1.0
IW06,IW03,IW03,11,1.0
IW03,IW00,IW00,10,1.0
IW09,IW05,IW05,10,1.0
IW02,IW09,IW09,9,1.0
IW05,IW00,IW00,9,1.0
IW05,IW05,IW05,9,1.0
IW05,IW10,IW10,9,1.0
IW08,IW09,IW09,9,1.0
IW10,IW09,IW09,9,1.0
IW00,IW09,IW09,8,1.0
IW03,IW04,IW04,8,1.0
IW03,IW05,IW05,8,1.0
IW03,IW07,IW07,8,1.0
IW08,IW03,IW03,8,1.0
IW09,IW04,IW04,8,1.0
IW02,IW03,IW03,7,1.0
IW04,IW03,IW03,7,1.0
IW00,IW03,IW03,6,1.0
IW03,IW02,IW02,6,1.0
IW04,IW09,IW09,6,1.0
IW10,IW03,IW03,6,1.0
IW05,IW09,IW09,4,1.0
IW09,IW00,IW00,4,1.0
IW09,IW09,IW09,4,1.0
IW09,IW10,IW10,3,1.0
IW03,IW03,IW03,2,1.0
IW05,IW03,IW03,2,1.0
IW03,IW09,IW09,1,1.0
IW09,IW03,IW03,1,1.0
IW09,IW11,IW08,10,0.625
IW05,IW11,IW08,14,0.4375
IW04,IW11,IW08,29,0.43283582089552236
IW03,IW11,IW08,5,0.4166666666666667
IW06,IW11,IW08,44,0.3963963963963964
IW10,IW11,IW08,21,0.39622641509433965
IW00,IW11,IW08,21,0.375
IW07,IW11,IW08,32,0.3404255319148936
IW08,IW11,IW08,28,0.3373493975903614
IW02,IW11,IW08,24,0.3287671232876712
IW10,IW01,IW06,42,0.2896551724137931
IW05,IW01,IW08,21,0.28378378378378377
IW04,IW01,IW08,28,0.25
IW00,IW01,IW08,26,0.23008849557522124
IW09,IW01,IW08,10,0.22727272727272727
IW07,IW01,IW08,50,0.22522522522522523
IW10,IW11,IW06,11,0.20754716981132076
IW02,IW01,IW08,37,0.20218579234972678
IW10,IW01,IW08,29,0.2
IW07,IW01,IW06,43,0.19369369369369369
IW03,IW01,IW07,7,0.1891891891891892
IW03,IW01,IW08,7,0.1891891891891892
IW04,IW01,IW06,21,0.1875
IW08,IW01,IW08,35,0.18229166666666666
IW06,IW01,IW07,44,0.17813765182186234
IW06,IW01,IW08,44,0.17813765182186234
IW08,IW01,IW06,34,0.17708333333333334
IW00,IW01,IW06,19,0.168141592920354
IW03,IW01,IW02,6,0.16216216216216217
IW09,IW01,IW02,7,0.1590909090909091
IW08,IW01,IW07,30,0.15625
IW05,IW11,IW02,5,0.15625
IW02,IW01,IW07,27,0.14754098360655737
IW04,IW01,IW07,16,0.14285714285714285
IW02,IW01,IW06,26,0.14207650273224043
IW07,IW11,IW07,13,0.13829787234042554
IW06,IW01,IW06,34,0.13765182186234817
IW09,IW01,IW07,6,0.13636363636363635
IW05,IW01,IW06,10,0.13513513513513514
IW03,IW01,IW05,5,0.13513513513513514
IW06,IW11,IW07,14,0.12612612612612611
IW06,IW11,IW10,14,0.12612612612612611
IW06,IW01,IW10,31,0.12550607287449392
IW00,IW11,IW10,7,0.125
IW09,IW11,IW05,2,0.125
IW10,IW01,IW07,18,0.12413793103448276
IW00,IW01,IW02,14,0.12389380530973451
IW02,IW11,IW07,9,0.1232876712328767
IW05,IW01,IW07,9,0.12162162162162163
IW04,IW11,IW07,8,0.11940298507462686
IW07,IW01,IW07,26,0.11711711711711711
IW02,IW01,IW10,21,0.11475409836065574
IW09,IW01,IW10,5,0.11363636363636363
IW10,IW11,IW02,6,0.11320754716981132
IW02,IW11,IW05,8,0.1095890410958904
IW08,IW01,IW02,21,0.109375
IW08,IW11,IW02,9,0.10843373493975904
IW08,IW11,IW07,9,0.10843373493975904
IW05,IW01,IW02,8,0.10810810810810811
IW03,IW01,IW06,4,0.10810810810810811
IW03,IW01,IW10,4,0.10810810810810811
IW04,IW01,IW10,12,0.10714285714285714
IW00,IW11,IW02,6,0.10714285714285714
IW07,IW11,IW05,10,0.10638297872340426
IW00,IW01,IW07,12,0.10619469026548672
IW04,IW11,IW06,7,0.1044776119402985
IW10,IW01,IW00,15,0.10344827586206896
IW06,IW01,IW00,25,0.10121457489878542
IW06,IW01,IW02,25,0.10121457489878542
IW06,IW01,IW04,25,0.10121457489878542
IW02,IW01,IW04,18,0.09836065573770492
IW08,IW11,IW05,8,0.0963855421686747
IW07,IW11,IW06,9,0.09574468085106383
IW05,IW01,IW10,7,0.0945945945945946
IW05,IW11,IW07,3,0.09375
IW05,IW11,IW10,3,0.09375
IW02,IW01,IW00,17,0.09289617486338798
IW02,IW01,IW02,17,0.09289617486338798
IW09,IW01,IW04,4,0.09090909090909091
IW09,IW01,IW05,4,0.09090909090909091
IW09,IW01,IW06,4,0.09090909090909091
IW07,IW01,IW04,20,0.09009009009009009
IW07,IW01,IW10,20,0.09009009009009009
IW06,IW11,IW02,10,0.09009009009009009
IW06,IW11,IW06,10,0.09009009009009009
IW10,IW01,IW02,13,0.0896551724137931
IW04,IW11,IW02,6,0.08955223880597014
IW00,IW11,IW04,5,0.08928571428571429
IW00,IW11,IW07,5,0.08928571428571429
IW00,IW01,IW04,10,0.08849557522123894
IW07,IW11,IW04,8,0.0851063829787234
IW08,IW11,IW06,7,0.08433734939759036
IW08,IW11,IW10,7,0.08433734939759036
IW08,IW01,IW00,16,0.08333333333333333
IW08,IW01,IW10,16,0.08333333333333333
IW03,IW11,IW00,1,0.08333333333333333
IW03,IW11,IW02,1,0.08333333333333333
IW03,IW11,IW04,1,0.08333333333333333
IW03,IW11,IW05,1,0.08333333333333333
IW03,IW11,IW07,1,0.08333333333333333
IW03,IW11,IW09,1,0.08333333333333333
IW03,IW11,IW10,1,0.08333333333333333
IW02,IW11,IW00,6,0.0821917808219178
IW02,IW11,IW06,6,0.0821917808219178
IW02,IW11,IW10,6,0.0821917808219178
IW07,IW01,IW02,18,0.08108108108108109
IW06,IW11,IW04,9,0.08108108108108109
IW05,IW01,IW05,6,0.08108108108108109
IW00,IW01,IW00,9,0.07964601769911504
IW00,IW01,IW05,9,0.07964601769911504
IW07,IW01,IW00,17,0.07657657657657657
IW02,IW01,IW05,14,0.07650273224043716
IW10,IW01,IW04,11,0.07586206896551724
IW10,IW11,IW07,4,0.07547169811320754
IW10,IW11,IW10,4,0.07547169811320754
IW07,IW11,IW02,7,0.07446808510638298
IW07,IW11,IW10,7,0.07446808510638298
IW04,IW01,IW04,8,0.07142857142857142
IW00,IW11,IW05,4,0.07142857142857142
IW00,IW11,IW06,4,0.07142857142857142
IW00,IW01,IW10,8,0.07079646017699115
IW02,IW11,IW02,5,0.0684931506849315
IW02,IW11,IW04,5,0.0684931506849315
IW08,IW01,IW04,13,0.06770833333333333
IW08,IW01,IW05,13,0.06770833333333333
IW05,IW01,IW09,5,0.06756756756756757
IW07,IW01,IW05,14,0.06306306306306306
IW04,IW01,IW00,7,0.0625
IW04,IW01,IW02,7,0.0625
IW04,IW01,IW05,7,0.0625
IW05,IW11,IW04,2,0.0625
IW05,IW11,IW05,2,0.0625
IW09,IW11,IW03,1,0.0625
IW09,IW11,IW06,1,0.0625
IW09,IW11,IW07,1,0.0625
IW09,IW11,IW10,1,0.0625
IW08,IW11,IW04,5,0.060240963855421686
IW08,IW11,IW09,5,0.060240963855421686
IW04,IW11,IW04,4,0.05970149253731343
IW04,IW11,IW05,4,0.05970149253731343
IW10,IW11,IW04,3,0.05660377358490566
IW02,IW11,IW09,4,0.0547945205479452
IW05,IW01,IW04,4,0.05405405405405406
IW03,IW01,IW04,2,0.05405405405405406
IW00,IW11,IW09,3,0.05357142857142857
IW07,IW11,IW00,5,0.05319148936170213
IW10,IW01,IW10,7,0.04827586206896552
IW09,IW01,IW00,2,0.045454545454545456
IW09,IW01,IW03,2,0.045454545454545456
IW04,IW11,IW00,3,0.04477611940298507
IW04,IW11,IW10,3,0.04477611940298507
IW00,IW01,IW09,5,0.04424778761061947
IW08,IW01,IW09,8,0.041666666666666664
IW10,IW01,IW05,6,0.041379310344827586
IW10,IW11,IW09,2,0.03773584905660377
IW06,IW01,IW05,9,0.03643724696356275
IW08,IW11,IW03,3,0.03614457831325301
IW07,IW01,IW09,8,0.036036036036036036
IW06,IW11,IW05,4,0.036036036036036036
IW04,IW01,IW09,4,0.03571428571428571
IW08,IW01,IW03,6,0.03125
IW05,IW11,IW00,1,0.03125
IW05,IW11,IW03,1,0.03125
IW05,IW11,IW09,1,0.03125
IW04,IW11,IW03,2,0.029850746268656716
IW07,IW01,IW03,6,0.02702702702702703
IW06,IW11,IW09,3,0.02702702702702703
IW05,IW01,IW00,2,0.02702702702702703
IW05,IW01,IW03,2,0.02702702702702703
IW03,IW01,IW00,1,0.02702702702702703
IW03,IW01,IW09,1,0.02702702702702703
IW06,IW01,IW09,6,0.024291497975708502
IW08,IW11,IW00,2,0.024096385542168676
IW02,IW01,IW03,4,0.02185792349726776
IW07,IW11,IW03,2,0.02127659574468085
IW10,IW01,IW09,3,0.020689655172413793
IW10,IW11,IW00,1,0.018867924528301886
IW10,IW11,IW05,1,0.018867924528301886
IW06,IW11,IW00,2,0.018018018018018018
IW04,IW01,IW03,2,0.017857142857142856
IW00,IW11,IW00,1,0.017857142857142856
IW06,IW01,IW03,4,0.016194331983805668
IW04,IW11,IW09,1,0.014925373134328358
IW02,IW01,IW09,2,0.01092896174863388
IW07,IW11,IW09,1,0.010638297872340425
IW06,IW11,IW03,1,0.009009009009009009
IW00,IW01,IW03,1,0.008849557522123894
IW10,IW01,IW03,1,0.006896551724137931
