actor_word,response_word,count,p_response_given_actor_word,count_order1,count_order2,count_order3,count_order4
IW10,IW01,42,0.6268656716417911,5,9,4,24
IW03,IW01,11,0.6111111111111112,1,3,2,5
IW06,IW01,89,0.6013513513513513,22,19,15,33
IW00,IW01,44,0.5945945945945946,11,12,8,13
IW07,IW01,61,0.5865384615384616,10,14,15,22
IW08,IW01,68,0.5573770491803278,16,23,7,22
IW04,IW01,35,0.5555555555555556,7,14,6,8
IW09,IW01,17,0.53125,2,2,5,8
IW01,IW01,564,0.5271028037383177,121,154,96,193
IW02,IW01,47,0.5222222222222223,8,15,7,17
IW05,IW01,17,0.5151515151515151,3,5,1,8
IW11,IW01,72,0.5034965034965035,11,22,16,23
IW09,IW06,4,0.125,1,2,1,0
IW09,IW11,4,0.125,1,1,1,1
IW05,IW02,4,0.12121212121212122,1,3,0,0
IW03,IW06,2,0.1111111111111111,1,0,1,0
IW02,IW06,9,0.1,2,3,1,3
IW07,IW11,10,0.09615384615384616,2,3,2,3
IW04,IW11,6,0.09523809523809523,2,1,1,2
IW00,IW08,7,0.0945945945945946,2,2,0,3
IW00,IW11,7,0.0945945945945946,1,3,1,2
IW11,IW11,13,0.09090909090909091,2,6,3,2
IW05,IW07,3,0.09090909090909091,1,0,1,1
IW07,IW06,9,0.08653846153846154,0,3,4,2
IW11,IW06,12,0.08391608391608392,3,2,2,5
IW08,IW07,10,0.08196721311475409,0,4,2,4
IW06,IW08,12,0.08108108108108109,2,3,6,1
IW01,IW06,81,0.07570093457943926,15,22,14,30
IW10,IW11,5,0.07462686567164178,2,2,1,0
IW08,IW08,9,0.07377049180327869,3,3,1,2
IW02,IW04,6,0.06666666666666667,1,2,2,1
IW02,IW11,6,0.06666666666666667,1,2,0,3
IW01,IW11,71,0.06635514018691589,17,20,6,28
IW08,IW06,8,0.06557377049180328,2,1,2,3
IW04,IW07,4,0.06349206349206349,1,2,1,0
IW04,IW08,4,0.06349206349206349,0,1,1,2
IW04,IW10,4,0.06349206349206349,2,0,2,0
IW11,IW02,9,0.06293706293706294,2,2,2,3
IW11,IW08,9,0.06293706293706294,0,4,3,2
IW09,IW02,2,0.0625,0,1,0,1
IW01,IW08,66,0.0616822429906542,14,21,11,20
IW05,IW00,2,0.06060606060606061,1,1,0,0
IW05,IW10,2,0.06060606060606061,0,0,2,0
IW05,IW11,2,0.06060606060606061,1,0,0,1
IW10,IW00,4,0.05970149253731343,2,1,0,1
IW08,IW00,7,0.05737704918032787,0,5,1,1
IW08,IW10,7,0.05737704918032787,3,0,2,2
IW02,IW02,5,0.05555555555555555,2,1,1,1
IW02,IW08,5,0.05555555555555555,0,2,0,3
IW03,IW00,1,0.05555555555555555,0,0,0,1
IW03,IW02,1,0.05555555555555555,0,0,1,0
IW03,IW05,1,0.05555555555555555,0,1,0,0
IW03,IW10,1,0.05555555555555555,0,0,0,1
IW03,IW11,1,0.05555555555555555,0,0,0,1
IW06,IW02,8,0.05405405405405406,0,1,1,6
IW06,IW06,8,0.05405405405405406,3,1,1,3
IW01,IW07,55,0.0514018691588785,10,16,13,16
IW07,IW08,5,0.04807692307692308,1,1,0,3
IW07,IW10,5,0.04807692307692308,2,0,1,2
IW04,IW06,3,0.047619047619047616,0,1,2,0
IW06,IW07,7,0.0472972972972973,1,2,1,3
IW06,IW11,7,0.0472972972972973,2,1,1,3
IW01,IW02,48,0.044859813084112146,6,15,8,19
IW10,IW06,3,0.04477611940298507,0,1,1,1
IW10,IW07,3,0.04477611940298507,0,1,0,2
IW10,IW09,3,0.04477611940298507,1,0,1,1
IW10,IW10,3,0.04477611940298507,0,0,1,2
IW02,IW10,4,0.044444444444444446,0,0,2,2
IW01,IW00,47,0.04392523364485981,8,9,6,24
IW01,IW10,46,0.04299065420560748,11,10,6,19
IW11,IW07,6,0.04195804195804196,2,3,1,0
IW11,IW10,6,0.04195804195804196,1,3,1,1
IW08,IW04,5,0.040983606557377046,1,1,3,0
IW06,IW10,6,0.04054054054054054,1,2,0,3
IW00,IW02,3,0.04054054054054054,0,0,2,1
IW00,IW06,3,0.04054054054054054,0,1,1,1
IW00,IW07,3,0.04054054054054054,0,0,2,1
IW07,IW05,4,0.038461538461538464,1,0,3,0
IW01,IW04,40,0.037383177570093455,12,7,7,14
IW11,IW04,5,0.03496503496503497,0,1,1,3
IW11,IW05,5,0.03496503496503497,0,3,1,1
IW11,IW09,5,0.03496503496503497,0,1,2,2
IW06,IW04,5,0.033783783783783786,1,0,3,1
IW02,IW00,3,0.03333333333333333,0,1,1,1
IW02,IW07,3,0.03333333333333333,0,0,1,2
IW08,IW05,4,0.03278688524590164,1,1,1,1
IW04,IW02,2,0.031746031746031744,0,0,1,1
IW04,IW04,2,0.031746031746031744,0,1,0,1
IW09,IW04,1,0.03125,0,0,1,0
IW09,IW05,1,0.03125,0,1,0,0
IW09,IW07,1,0.03125,0,1,0,0
IW09,IW08,1,0.03125,0,1,0,0
IW09,IW09,1,0.03125,0,1,0,0
IW05,IW04,1,0.030303030303030304,1,0,0,0
IW05,IW06,1,0.030303030303030304,0,1,0,0
IW05,IW08,1,0.030303030303030304,0,1,0,0
IW10,IW05,2,0.029850746268656716,0,1,0,1
IW10,IW08,2,0.029850746268656716,0,2,0,0
IW07,IW02,3,0.028846153846153848,0,0,2,1
IW06,IW05,4,0.02702702702702703,2,0,1,1
IW00,IW00,2,0.02702702702702703,1,1,0,0
IW00,IW04,2,0.02702702702702703,1,0,0,1
IW08,IW11,3,0.02459016393442623,0,1,1,1
IW02,IW09,2,0.022222222222222223,0,0,0,2
IW01,IW05,21,0.019626168224299065,8,7,2,4
IW07,IW00,2,0.019230769230769232,1,0,1,0
IW07,IW04,2,0.019230769230769232,0,1,1,0
IW07,IW07,2,0.019230769230769232,0,0,0,2
IW01,IW09,18,0.016822429906542057,3,5,5,5
IW04,IW03,1,0.015873015873015872,0,0,0,1
IW04,IW05,1,0.015873015873015872,0,0,0,1
IW04,IW09,1,0.015873015873015872,0,0,0,1
IW00,IW03,1,0.013513513513513514,0,0,0,1
IW00,IW05,1,0.013513513513513514,0,1,0,0
IW00,IW09,1,0.013513513513513514,0,0,0,1
IW01,IW03,13,0.012149532710280374,3,2,1,7
IW07,IW09,1,0.009615384615384616,0,1,0,0
IW08,IW03,1,0.00819672131147541,0,1,0,0
IW11,IW00,1,0.006993006993006993,0,0,0,1
IW06,IW00,1,0.006756756756756757,0,0,0,1
IW06,IW09,1,0.006756756756756757,0,0,1,0
